
[-63, -50, -78, -85, -90],17/02/2022 19:47:57
[-62, -54, -83, -81, -100],17/02/2022 19:48:01
[-63, -48, -80, -79, -100],17/02/2022 19:48:05
[-85, -49, -100, -80, -100],17/02/2022 19:48:09
[-63, -49, -79, -80, -90],17/02/2022 19:48:14
[-61, -49, -100, -85, -100],17/02/2022 19:48:18
[-100, -49, -100, -84, -100],17/02/2022 19:48:22
[-65, -53, -80, -89, -90],17/02/2022 19:48:26
[-64, -53, -79, -85, -100],17/02/2022 19:48:30
[-65, -53, -100, -88, -100],17/02/2022 19:48:34
[-61, -54, -100, -87, -100],17/02/2022 19:48:38
[-61, -50, -100, -79, -92],17/02/2022 19:48:43
[-65, -51, -100, -79, -100],17/02/2022 19:48:47
[-65, -50, -100, -80, -100],17/02/2022 19:48:51
[-61, -50, -78, -79, -100],17/02/2022 19:48:55
[-83, -53, -90, -85, -100],17/02/2022 19:48:59
[-65, -48, -80, -86, -100],17/02/2022 19:49:03
[-64, -48, -100, -80, -100],17/02/2022 19:49:08
[-60, -49, -100, -86, -100],17/02/2022 19:49:12
[-65, -49, -80, -86, -100],17/02/2022 19:49:16
[-60, -50, -80, -80, -92],17/02/2022 19:49:20
[-66, -53, -79, -86, -90],17/02/2022 19:49:24
[-65, -49, -80, -79, -100],17/02/2022 19:49:28
[-64, -53, -78, -87, -100],17/02/2022 19:49:33
[-76, -54, -100, -79, -100],17/02/2022 19:49:37
[-65, -50, -78, -87, -91],17/02/2022 19:49:41
[-64, -49, -80, -87, -100],17/02/2022 19:49:45
[-76, -50, -100, -79, -90],17/02/2022 19:49:49
[-63, -50, -86, -87, -100],17/02/2022 19:49:53
[-63, -50, -100, -79, -100],17/02/2022 19:49:58
[-75, -53, -100, -87, -100],17/02/2022 19:50:02
[-63, -49, -79, -79, -94],17/02/2022 19:50:06
[-61, -52, -84, -79, -100],17/02/2022 19:50:10
[-71, -49, -81, -86, -100],17/02/2022 19:50:14
[-62, -53, -100, -88, -100],17/02/2022 19:50:18
[-63, -51, -79, -88, -93],17/02/2022 19:50:23
[-70, -50, -100, -86, -100],17/02/2022 19:50:27
[-64, -50, -80, -80, -100],17/02/2022 19:50:31
[-63, -53, -87, -80, -100],17/02/2022 19:50:35
[-71, -49, -100, -79, -93],17/02/2022 19:50:39
[-60, -49, -100, -78, -100],17/02/2022 19:50:43
[-72, -49, -82, -79, -100],17/02/2022 19:50:47
[-65, -49, -89, -78, -100],17/02/2022 19:50:52
[-62, -49, -100, -80, -100],17/02/2022 19:50:56
[-63, -50, -77, -80, -100],17/02/2022 19:51:00
[-64, -53, -100, -80, -100],17/02/2022 19:51:04
[-62, -50, -84, -88, -100],17/02/2022 19:51:08
[-66, -50, -100, -86, -100],17/02/2022 19:51:12
